Date,Close
05/12/2014,1.2681
08/12/2014,1.2711
09/12/2014,1.263
10/12/2014,1.2639
11/12/2014,1.2678
12/12/2014,1.2598
15/12/2014,1.2571
16/12/2014,1.2574
17/12/2014,1.2621
18/12/2014,1.2732
19/12/2014,1.2753
22/12/2014,1.2751
23/12/2014,1.2748
24/12/2014,1.274
29/12/2014,1.275
30/12/2014,1.279
31/12/2014,1.2841
02/01/2015,1.279
05/01/2015,1.2767
06/01/2015,1.2727
07/01/2015,1.2762
08/01/2015,1.2789
09/01/2015,1.2801
12/01/2015,1.281
13/01/2015,1.2881
14/01/2015,1.2907
15/01/2015,1.3091
16/01/2015,1.315
19/01/2015,1.3031
20/01/2015,1.3129
21/01/2015,1.3046
22/01/2015,1.3214
23/01/2015,1.336
26/01/2015,1.3372
27/01/2015,1.3335
28/01/2015,1.3385
29/01/2015,1.3299
30/01/2015,1.3309
02/02/2015,1.3256
03/02/2015,1.3201
04/02/2015,1.3317
05/02/2015,1.3376
06/02/2015,1.346
09/02/2015,1.3444
10/02/2015,1.3476
11/02/2015,1.3504
12/02/2015,1.3509
13/02/2015,1.3499
16/02/2015,1.3486
17/02/2015,1.3451
18/02/2015,1.3597
19/02/2015,1.3556
20/02/2015,1.3523
23/02/2015,1.3605
24/02/2015,1.3637
25/02/2015,1.3637
26/02/2015,1.3742
27/02/2015,1.3775
02/03/2015,1.3723
03/03/2015,1.3743
04/03/2015,1.3794
05/03/2015,1.3812
06/03/2015,1.3868
09/03/2015,1.3918
10/03/2015,1.4089
11/03/2015,1.4134
12/03/2015,1.4043
13/03/2015,1.4022
16/03/2015,1.3995
17/03/2015,1.3902
18/03/2015,1.3799
19/03/2015,1.3866
20/03/2015,1.3828
23/03/2015,1.3668
24/03/2015,1.3633
25/03/2015,1.3576
26/03/2015,1.3594
27/03/2015,1.3661
30/03/2015,1.367
31/03/2015,1.3821
01/04/2015,1.3773
02/04/2015,1.363
07/04/2015,1.3693
08/04/2015,1.383
09/04/2015,1.3803
10/04/2015,1.3792
13/04/2015,1.3846
14/04/2015,1.383
15/04/2015,1.3918
16/04/2015,1.3923
17/04/2015,1.3884
20/04/2015,1.3869
21/04/2015,1.3902
22/04/2015,1.4022
23/04/2015,1.3936
24/04/2015,1.3959
27/04/2015,1.3977
28/04/2015,1.3954
29/04/2015,1.3859
30/04/2015,1.372
01/05/2015,1.3527
05/05/2015,1.3581
06/05/2015,1.343
07/05/2015,1.3498
08/05/2015,1.3743
11/05/2015,1.3959
12/05/2015,1.3926
13/05/2015,1.3857
14/05/2015,1.3847
15/05/2015,1.3804
18/05/2015,1.3799
19/05/2015,1.3934
20/05/2015,1.4006
21/05/2015,1.4088
22/05/2015,1.4057
26/05/2015,1.4116
27/05/2015,1.4092
28/05/2015,1.4006
29/05/2015,1.392
01/06/2015,1.3955
02/06/2015,1.3774
03/06/2015,1.3609
04/06/2015,1.3618
05/06/2015,1.3721
08/06/2015,1.3629
09/06/2015,1.3622
10/06/2015,1.3749
11/06/2015,1.3792
12/06/2015,1.3815
15/06/2015,1.3811
16/06/2015,1.3908
17/06/2015,1.3986
18/06/2015,1.3927
19/06/2015,1.4019
22/06/2015,1.3879
23/06/2015,1.4063
24/06/2015,1.4057
25/06/2015,1.4049
26/06/2015,1.4122
29/06/2015,1.4119
30/06/2015,1.4118
01/07/2015,1.4072
02/07/2015,1.405
03/07/2015,1.4057
06/07/2015,1.4088
07/07/2015,1.4099
08/07/2015,1.3874
09/07/2015,1.3931
10/07/2015,1.388
13/07/2015,1.4104
14/07/2015,1.4155
15/07/2015,1.4248
16/07/2015,1.4294
17/07/2015,1.4402
20/07/2015,1.4352
21/07/2015,1.4229
22/07/2015,1.435
23/07/2015,1.4142
24/07/2015,1.4134
27/07/2015,1.4028
28/07/2015,1.4114
29/07/2015,1.4189
30/07/2015,1.4289
31/07/2015,1.4126
03/08/2015,1.4234
04/08/2015,1.423
05/08/2015,1.4361
06/08/2015,1.4206
07/08/2015,1.4144
10/08/2015,1.4157
11/08/2015,1.4095
12/08/2015,1.3974
13/08/2015,1.4003
14/08/2015,1.4044
17/08/2015,1.4085
18/08/2015,1.4186
19/08/2015,1.4148
20/08/2015,1.3991
21/08/2015,1.3853
24/08/2015,1.3598
25/08/2015,1.3755
26/08/2015,1.3622
27/08/2015,1.3708
28/08/2015,1.3689
01/09/2015,1.3615
02/09/2015,1.3618
03/09/2015,1.3724
04/09/2015,1.3652
07/09/2015,1.3678
08/09/2015,1.3738
09/09/2015,1.3767
10/09/2015,1.3759
11/09/2015,1.3655
14/09/2015,1.3633
15/09/2015,1.3623
16/09/2015,1.3738
17/09/2015,1.3727
18/09/2015,1.3707
21/09/2015,1.3832
22/09/2015,1.3781
23/09/2015,1.3663
24/09/2015,1.3535
25/09/2015,1.3582
28/09/2015,1.3544
29/09/2015,1.3494
30/09/2015,1.3565
01/10/2015,1.3526
02/10/2015,1.3482
05/10/2015,1.3537
06/10/2015,1.3507
07/10/2015,1.363
08/10/2015,1.3564
09/10/2015,1.348
12/10/2015,1.349
13/10/2015,1.3386
14/10/2015,1.3498
15/10/2015,1.3578
16/10/2015,1.3577
19/10/2015,1.3688
20/10/2015,1.3631
21/10/2015,1.3614
22/10/2015,1.3808
23/10/2015,1.3913
26/10/2015,1.3901
27/10/2015,1.3855
28/10/2015,1.3847
29/10/2015,1.3954
30/10/2015,1.3987
02/11/2015,1.398
03/11/2015,1.4062
04/11/2015,1.4166
05/11/2015,1.4036
06/11/2015,1.4037
09/11/2015,1.4059
10/11/2015,1.4131
11/11/2015,1.4168
12/11/2015,1.4129
13/11/2015,1.4161
16/11/2015,1.4181
17/11/2015,1.4286
18/11/2015,1.4285
19/11/2015,1.4246
20/11/2015,1.4272
23/11/2015,1.4256
24/11/2015,1.4161
25/11/2015,1.4212
26/11/2015,1.4244
27/11/2015,1.4208
30/11/2015,1.4253
01/12/2015,1.4191
02/12/2015,1.4139
03/12/2015,1.3859
04/12/2015,1.3869
07/12/2015,1.389
08/12/2015,1.3783
09/12/2015,1.385
10/12/2015,1.3865
11/12/2015,1.3829
14/12/2015,1.3707
15/12/2015,1.3779
16/12/2015,1.3708
17/12/2015,1.3736
18/12/2015,1.3733
21/12/2015,1.3633
22/12/2015,1.3518
23/12/2015,1.3667
24/12/2015,1.363
29/12/2015,1.3567
30/12/2015,1.3591
31/12/2015,1.3605
04/01/2016,1.3598
05/01/2016,1.3661
06/01/2016,1.3595
07/01/2016,1.3452
08/01/2016,1.333
11/01/2016,1.3391
12/01/2016,1.3275
13/01/2016,1.3316
14/01/2016,1.3276
15/01/2016,1.3068
18/01/2016,1.3125
19/01/2016,1.298
20/01/2016,1.3017
21/01/2016,1.306
22/01/2016,1.324
25/01/2016,1.3169
26/01/2016,1.3204
27/01/2016,1.3117
28/01/2016,1.3152
29/01/2016,1.3113
01/02/2016,1.3191
02/02/2016,1.3185
03/02/2016,1.3207
04/02/2016,1.3053
05/02/2016,1.2999
08/02/2016,1.2891
09/02/2016,1.2806
10/02/2016,1.2912
11/02/2016,1.2726
12/02/2016,1.2857
15/02/2016,1.297
16/02/2016,1.2839
17/02/2016,1.286
18/02/2016,1.2942
19/02/2016,1.2845
22/02/2016,1.2819
23/02/2016,1.2795
24/02/2016,1.2637
25/02/2016,1.2641
26/02/2016,1.2687
29/02/2016,1.2821
01/03/2016,1.2822
02/03/2016,1.2989
03/03/2016,1.2948
04/03/2016,1.2914
07/03/2016,1.2932
08/03/2016,1.2851
09/03/2016,1.2921
10/03/2016,1.2835
11/03/2016,1.29
14/03/2016,1.2897
15/03/2016,1.2747
16/03/2016,1.273
17/03/2016,1.2805
18/03/2016,1.2853
21/03/2016,1.279
22/03/2016,1.2663
23/03/2016,1.2626
24/03/2016,1.267
29/03/2016,1.275
30/03/2016,1.2725
31/03/2016,1.2616
01/04/2016,1.2503
04/04/2016,1.2556
05/04/2016,1.2424
